job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
1,AI Engineer,Medium,E-commerce,Canada,Remote,Entry,7,Master,0,0,0,1,1,66720,7,2020,Medium,2
2,Business Analyst,MNC,Healthcare,Australia,Onsite,Entry,0,Master,1,0,1,1,0,76402,1,2021,High,1
3,Data Analyst,Medium,Retail,UK,Remote,Entry,8,Master,0,0,0,0,0,187116,7,2024,Medium,8
4,Business Analyst,MNC,Education,Germany,Onsite,Entry,1,Master,1,1,1,0,0,175303,10,2025,Medium,7
5,Business Analyst,Medium,Healthcare,Canada,Hybrid,Entry,11,Bachelor,0,0,1,0,1,122907,5,2020,Low,9
6,Machine Learning Engineer,MNC,Technology,Germany,Remote,Entry,4,Bachelor,1,0,0,1,0,146313,7,2022,Medium,2
7,Data Analyst,Startup,Finance,Germany,Onsite,Mid,2,Bachelor,1,1,1,1,1,164324,8,2021,High,9
8,Data Analyst,Startup,Education,USA,Onsite,Entry,4,PhD,0,0,1,1,1,87926,10,2025,Low,8
9,Data Analyst,Startup,Education,UK,Remote,Senior,11,Bachelor,0,0,1,1,0,51536,12,2021,Medium,4
10,Business Analyst,Startup,Retail,Singapore,Remote,Mid,7,Bachelor,0,1,1,0,0,108700,7,2026,Low,4
11,AI Engineer,Medium,Technology,Germany,Hybrid,Senior,7,Bachelor,1,1,1,0,1,83111,10,2026,High,4
12,Data Analyst,Enterprise,Finance,Singapore,Remote,Senior,5,Bachelor,0,0,1,0,0,195740,2,2025,High,5
13,Data Engineer,MNC,Technology,Singapore,Onsite,Entry,8,PhD,1,1,1,0,1,67763,4,2022,High,1
14,Business Analyst,Enterprise,Healthcare,UK,Hybrid,Senior,6,Master,0,0,1,1,1,120582,6,2024,Medium,5
15,Machine Learning Engineer,Medium,Retail,UK,Remote,Senior,1,Master,1,1,1,1,0,82207,9,2024,Medium,9
16,AI Engineer,Medium,Education,USA,Onsite,Senior,0,PhD,0,1,1,0,1,86421,5,2023,High,9
17,Data Engineer,Enterprise,Education,Singapore,Remote,Entry,7,Bachelor,0,0,0,0,0,159953,12,2026,High,9
